,Kod stacji,Nazwa stacji,Rok,Miesiąc,Absolutna temperatura maksymalna (C),Średnia temperatura maksymalna (C),Absolutna temperatura minimalna,Średnia temperatura minimalna,Średnia temperatura miesięczna,Minimalna temperatura przy gruncie,Miesieczna suma opadów (mm),Maksymalna dobowa suma opadów,Pierwszy dzień wystapienia opadu maksymalnego,Ostatni dzień wystąpienia opadu maksymalnego,Maksymalna wysokość pokrywy śnieżnej (cm),Liczba dni z pokrywą śnieżną,Liczba dni z opadem deszczu,Liczba dni z opadem śniegu,Data,Województwo
60,249220040,DYNÓW,1951,1,9.9,1.0,-25.5,-4.8,-1.6,,31.2,9.0,21.0,,23.0,12,2,6,1951-01-01,Podkarpackie
2243,254200080,LIDZBARK WARMIÑSKI,1951,1,5.8,-1.0,-22.5,-6.6,-3.4,-22.6,38.0,7.0,7.0,,8.0,23,12,3,1951-01-01,Warmińsko-Mazurskie
1073,252200150,WARSZAWA-BIELANY,1951,1,7.8,0.4,-16.4,-4.1,-1.7,,35.5,14.2,19.0,,2.0,12,4,6,1951-01-01,Mazowieckie
235,250190390,KRAKÓW-OBSERWATORIUM,1951,1,9.3,2.1,-13.0,-3.4,-0.5,,29.8,9.3,18.0,,5.0,18,6,8,1951-01-01,Małopolskie
475,251190050,PUCZNIEW,1951,1,8.1,1.4,-13.1,-3.9,-1.1,,25.3,3.7,20.0,,4.0,15,6,7,1951-01-01,Łódzkie
535,251200030,SKIERNIEWICE,1951,1,7.1,0.8,-13.1,-4.0,-1.4,-15.1,22.4,4.2,19.0,,2.0,2,7,7,1951-01-01,Łódzkie
1193,252210050,PU£TUSK,1951,1,6.3,0.0,-18.0,-5.2,-2.1,,33.5,9.1,18.0,,10.0,16,6,11,1951-01-01,Mazowieckie
715,252160230,WIELICHOWO,1951,1,9.4,2.0,-14.9,-3.4,-0.2,-17.2,27.5,5.1,18.0,,0.0,0,9,5,1951-01-01,Wielkopolskie
595,251210120,PU£AWY,1951,1,9.5,0.5,-18.6,-4.4,-1.9,-22.8,21.0,4.7,18.0,,8.0,15,8,9,1951-01-01,Lubelskie
894,252180080,KO£UDA WIELKA,1951,1,7.5,1.2,-14.5,-4.0,-1.2,-16.0,27.5,3.8,19.0,,5.0,7,5,9,1951-01-01,Kujawsko-Pomorskie
1313,252220030,SZEPIETOWO,1951,1,5.2,-1.2,-20.0,-6.3,-3.6,-22.6,24.1,3.6,7.0,15.0,0.0,0,1,11,1951-01-01,Podlaskie
1014,252200120,LEGIONOWO,1951,2,,,,,,,,,,,,0,0,0,1951-02-01,Mazowieckie
1194,252210050,PU£TUSK,1951,2,7.8,1.4,-13.5,-3.5,-1.0,,29.8,9.6,25.0,,4.0,18,1,9,1951-02-01,Mazowieckie
476,251190050,PUCZNIEW,1951,2,9.4,3.5,-12.8,-2.3,0.4,,22.9,6.3,25.0,,5.0,12,4,10,1951-02-01,Łódzkie
895,252180080,KO£UDA WIELKA,1951,2,7.8,2.8,-11.3,-2.1,0.0,-13.5,32.5,6.0,17.0,,6.0,5,3,9,1951-02-01,Kujawsko-Pomorskie
1074,252200150,WARSZAWA-BIELANY,1951,2,8.6,1.7,-12.8,-2.8,-0.6,,31.7,8.6,25.0,,2.0,13,1,10,1951-02-01,Mazowieckie
61,249220040,DYNÓW,1951,2,11.9,4.3,-18.0,-3.6,0.8,,33.9,10.2,26.0,,9.0,8,5,7,1951-02-01,Podkarpackie
2244,254200080,LIDZBARK WARMIÑSKI,1951,2,4.8,0.5,-15.8,-4.3,-1.8,-16.1,20.4,9.0,27.0,,20.0,11,7,1,1951-02-01,Warmińsko-Mazurskie
716,252160230,WIELICHOWO,1951,2,10.9,3.9,-9.9,-1.8,1.0,-11.0,32.1,8.8,14.0,,7.0,4,9,6,1951-02-01,Wielkopolskie
236,250190390,KRAKÓW-OBSERWATORIUM,1951,2,13.4,4.4,-10.5,-1.3,1.3,,26.3,16.3,26.0,,6.0,7,2,6,1951-02-01,Małopolskie
1314,252220030,SZEPIETOWO,1951,2,6.5,0.7,-15.5,-4.7,-2.1,-19.6,25.6,10.8,25.0,,0.0,0,1,8,1951-02-01,Podlaskie
596,251210120,PU£AWY,1951,2,9.1,2.2,-13.7,-2.9,-0.5,-18.3,21.2,6.4,26.0,,4.0,12,2,8,1951-02-01,Lubelskie
536,251200030,SKIERNIEWICE,1951,2,10.3,2.5,-12.4,-3.1,-0.4,-15.3,33.8,10.1,25.0,,7.0,4,1,9,1951-02-01,Łódzkie
1075,252200150,WARSZAWA-BIELANY,1951,3,15.3,3.7,-12.2,-2.9,0.5,,26.3,6.4,23.0,,8.0,12,3,7,1951-03-01,Mazowieckie
